variant,scene,total_gt_rows,total_prediction_files,response_status_ok_count,match_count_overall,overall_accuracy,exact_match_accuracy_overall,evaluable_row_count,mapped_only_accuracy,exact_match_accuracy_evaluable_only,micro_precision,micro_recall,micro_f1,delta_overall_accuracy_vs_baseline,delta_micro_f1_vs_baseline,source
no_gaze_hand,ALL,4000,4000,3985,2915,0.7288,0.2863,4000,0.7288,0.2863,0.5212,0.4724,0.4956,-0.0510,-0.0443,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_gaze_hand
no_hand,scene1,800,800,796,608,0.7600,0.3488,800,0.7600,0.3488,0.6254,0.5139,0.5642,,,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_hand
no_hand,scene2,800,800,791,455,0.5687,0.1062,800,0.5687,0.1062,0.3694,0.2739,0.3146,,,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_hand
no_hand,scene3,800,800,797,620,0.7750,0.2537,800,0.7750,0.2537,0.5714,0.4480,0.5023,,,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_hand
no_hand,scene4_room1,200,200,200,193,0.9650,0.6500,200,0.9650,0.6500,0.8723,0.8960,0.8840,,,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_hand
no_hand,scene4_room2,200,200,199,199,0.9950,0.8400,200,0.9950,0.8400,0.9641,0.9208,0.9420,,,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_hand
no_hand,scene4_room3,200,200,199,198,0.9900,0.7300,200,0.9900,0.7300,0.9649,0.8661,0.9129,,,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_hand
no_hand,scene4_room4,200,200,200,195,0.9750,0.6500,200,0.9750,0.6500,0.8633,0.8090,0.8353,,,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_hand
no_hand,scene5,800,800,798,652,0.8150,0.1988,800,0.8150,0.1988,0.4404,0.5385,0.4845,,,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_hand
no_hand,ALL,4000,4000,3980,3120,0.7800,0.3250,4000,0.7800,0.3250,0.5714,0.5116,0.5399,0.0002,-0.0000,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_hand
no_visual,scene1,800,800,778,550,0.6875,0.3125,800,0.6875,0.3125,0.6327,0.4669,0.5373,,,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_visual
no_visual,scene2,800,800,773,406,0.5075,0.0938,800,0.5075,0.0938,0.4060,0.2335,0.2965,,,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_visual
no_visual,scene3,800,800,777,612,0.7650,0.2512,800,0.7650,0.2512,0.6644,0.4234,0.5172,,,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_visual
no_visual,scene4_room1,200,200,197,193,0.9650,0.7300,200,0.9650,0.7300,0.8811,0.8985,0.8897,,,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_visual
no_visual,scene4_room2,200,200,200,196,0.9800,0.7950,200,0.9800,0.7950,0.9504,0.9103,0.9299,,,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_visual
no_visual,scene4_room3,200,200,199,198,0.9900,0.8350,200,0.9900,0.8350,0.9752,0.9291,0.9516,,,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_visual
no_visual,scene4_room4,200,200,200,198,0.9900,0.7350,200,0.9900,0.7350,0.8974,0.8794,0.8883,,,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_visual
no_visual,scene5,800,800,782,623,0.7788,0.1762,800,0.7788,0.1762,0.4997,0.5073,0.5035,,,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_visual
no_visual,ALL,4000,4000,3906,2976,0.7440,0.3215,4000,0.7440,0.3215,0.6301,0.4877,0.5498,-0.0358,0.0100,/workspace/usr3/TriModal-Referring/ablation/exam1/outputs/no_visual
