model_name,experiment,ablation_variant,scene,row_index,unified_id,event_id,gt_anchor_ids,predicted_anchor_ids,gt_mapped,gt_unmapped_labels,valid_output,parse_status,invalid_reason,single_or_multi_target,tp,fp,fn,set_f1,exact,hit,evaluator_version_or_commit
Qwen3-VL-30B-A3B-Instruct,experiment1,no_hand_strict,scene3,140,scene3::140,scene3_141,"[""car4"",""building1""]",[],True,[],False,parsed_response_missing,parsed_response_missing,multi,0,0,2,0.0,False,False,git:9354f532c654931c89aafdf52a03ad7c526d1a5c;sha256:d0da7ca2f7437f94
Qwen3-VL-30B-A3B-Instruct,experiment1,no_hand_strict,scene3,544,scene3::544,scene3_545,"[""building1"",""car2"",""car1""]",[],True,[],False,parsed_response_missing,parsed_response_missing,multi,0,0,3,0.0,False,False,git:9354f532c654931c89aafdf52a03ad7c526d1a5c;sha256:d0da7ca2f7437f94
Qwen3-VL-30B-A3B-Instruct,experiment1,no_hand_strict,scene3,585,scene3::585,scene3_586,"[""car2"",""car3"",""drone3"",""spotB""]",[],True,[],False,parsed_response_missing,parsed_response_missing,multi,0,0,4,0.0,False,False,git:9354f532c654931c89aafdf52a03ad7c526d1a5c;sha256:d0da7ca2f7437f94
Qwen3-VL-30B-A3B-Instruct,experiment1,no_hand_strict,scene3,597,scene3::597,scene3_598,"[""car3"",""spotB"",""car2""]",[],True,[],False,parsed_response_missing,parsed_response_missing,multi,0,0,3,0.0,False,False,git:9354f532c654931c89aafdf52a03ad7c526d1a5c;sha256:d0da7ca2f7437f94
Qwen3-VL-30B-A3B-Instruct,experiment1,no_hand_strict,scene4_room1,72,scene4_room1::72,scene4_73,"[""curtain1"",""stove""]",[],True,[],False,parsed_response_missing,parsed_response_missing,multi,0,0,2,0.0,False,False,git:9354f532c654931c89aafdf52a03ad7c526d1a5c;sha256:d0da7ca2f7437f94
Qwen3-VL-30B-A3B-Instruct,experiment1,no_hand_strict,scene4_room2,140,scene4_room2::140,scene4_141,"[""broom"",""sink""]","[""broom""]",True,[],False,partial_invalid_object_name,partial_invalid_object_name,multi,1,0,1,0.6666666666666666,False,True,git:9354f532c654931c89aafdf52a03ad7c526d1a5c;sha256:d0da7ca2f7437f94
Qwen3-VL-30B-A3B-Instruct,experiment1,no_hand_strict,scene4_room2,155,scene4_room2::155,scene4_156,"[""mop"",""sink""]","[""mop""]",True,"[""floor""]",False,partial_invalid_object_name,partial_invalid_object_name,multi,1,0,1,0.6666666666666666,False,True,git:9354f532c654931c89aafdf52a03ad7c526d1a5c;sha256:d0da7ca2f7437f94
Qwen3-VL-30B-A3B-Instruct,experiment1,no_hand_strict,scene4_room4,168,scene4_room4::168,scene4_169,"[""bench""]","[""bench"",""dining_table""]",True,[],False,partial_invalid_object_name,partial_invalid_object_name,single,1,1,0,0.6666666666666666,False,True,git:9354f532c654931c89aafdf52a03ad7c526d1a5c;sha256:d0da7ca2f7437f94
Qwen3-VL-30B-A3B-Instruct,experiment1,no_hand_strict,scene5,13,scene5::13,scene5_14,"[""drone2"",""warehouseD""]",[],True,[],False,parsed_response_missing,parsed_response_missing,multi,0,0,2,0.0,False,False,git:9354f532c654931c89aafdf52a03ad7c526d1a5c;sha256:d0da7ca2f7437f94
Qwen3-VL-30B-A3B-Instruct,experiment1,no_hand_strict,scene5,49,scene5::49,scene5_50,"[""drone2"",""warehouseC""]",[],True,[],False,parsed_response_missing,parsed_response_missing,multi,0,0,2,0.0,False,False,git:9354f532c654931c89aafdf52a03ad7c526d1a5c;sha256:d0da7ca2f7437f94
Qwen3-VL-30B-A3B-Instruct,experiment1,no_hand_strict,scene5,387,scene5::387,scene5_388,"[""drone3"",""warehouseC""]",[],True,[],False,parsed_response_missing,parsed_response_missing,multi,0,0,2,0.0,False,False,git:9354f532c654931c89aafdf52a03ad7c526d1a5c;sha256:d0da7ca2f7437f94
Qwen3-VL-30B-A3B-Instruct,experiment1,no_hand_strict,scene5,529,scene5::529,scene5_530,"[""person1"",""oil_tank1""]",[],True,[],False,parsed_response_missing,parsed_response_missing,multi,0,0,2,0.0,False,False,git:9354f532c654931c89aafdf52a03ad7c526d1a5c;sha256:d0da7ca2f7437f94
Qwen3-VL-30B-A3B-Instruct,experiment1,no_hand_strict,scene5,631,scene5::631,scene5_632,"[""drone2"",""oil_tank4""]",[],True,[],False,parsed_response_missing,parsed_response_missing,multi,0,0,2,0.0,False,False,git:9354f532c654931c89aafdf52a03ad7c526d1a5c;sha256:d0da7ca2f7437f94
